Title,Year,BoxOffice,ReleaseDate,imdbRating,Genre
Cheaper by the Dozen,2003,138614544,2003-12-25 00:00:00,5.9
Christopher Robin,2018,99215042,2018-08-03 00:00:00,7.2
D3: The Mighty Ducks,1996,22955097,1996-10-04 00:00:00,5.4
Trick or Treat,1986,6797218,1986-10-24 00:00:00,5.8
Solo: A Star Wars Story,2018,213767512,2018-05-25 00:00:00,6.9
X-Men: Days of Future Past,2014,233921534,2014-05-23 00:00:00,7.9
Race to Witch Mountain,2009,67172594,2009-03-13 00:00:00,5.7
The Mighty Ducks,1992,50752337,1992-10-02 00:00:00,6.5
While You Were Sleeping,1995,81057016,1995-04-21 00:00:00,6.7
Maleficent: Mistress of Evil,2019,113929605,2019-10-18 00:00:00,6.6
Onward,2020,61555145,2020-03-06 00:00:00,7.4
X-Men: Apocalypse,2016,155442489,2016-05-27 00:00:00,6.9
The Big Green,1995,17736619,1995-09-29 00:00:00,5.5
Walt & El Grupo,2008,20521,2008-04-26 00:00:00,6.3
Inside Out,2015,356921711,2015-06-19 00:00:00,8.2
The Princess Bride,1987,30857814,1987-10-09 00:00:00,8.0
Elephant,2003,1266955,2003-11-14 00:00:00,7.1
Prom,2011,10130219,2011-04-29 00:00:00,5.4
The Odd Life of Timothy Green,2012,51854875,2012-08-15 00:00:00,6.6
A Wrinkle in Time,2018,100478608,2018-03-09 00:00:00,4.2
G-Force,2009,119436770,2009-07-24 00:00:00,5.1
Dinosaur,2000,137748063,2000-05-19 00:00:00,6.4
First Kid,1996,26491793,1996-08-30 00:00:00,5.2
Gus,1976,21873000,1976-07-07 00:00:00,5.7
Jack,1996,58620973,1996-08-09 00:00:00,5.8
Life with Mikey,1993,12440858,1993-06-04 00:00:00,5.6
Lilo & Stitch,2002,145794338,2002-06-21 00:00:00,7.3
Mary Poppins,1964,102272727,1965-06-18 00:00:00,7.8
"Monsters, Inc.",2001,290642256,2001-11-02 00:00:00,8.1
Old Yeller,1957,21909000,1959-07-10 00:00:00,7.3
Pinocchio,1940,84254167,1940-02-23 00:00:00,7.5
Pooh's Heffalump Movie,2005,18098433,2005-02-11 00:00:00,6.4
Remember the Titans,2000,115719751,2000-09-29 00:00:00,7.8
Secretariat,2010,59713955,2010-10-08 00:00:00,7.2
Jingle All the Way,1996,60592389,1996-11-22 00:00:00,5.7
Pirates of the Caribbean: Dead Men Tell No Tales,2017,172558876,2017-05-26 00:00:00,6.5
Percy Jackson & the Olympians: The Lightning Thief,2010,88768303,2010-02-12 00:00:00,5.8
George of the Jungle,1997,105263257,1997-07-16 00:00:00,5.5
Homeward Bound II: Lost in San Francisco,1996,32772492,1996-03-08 00:00:00,5.9
National Treasure,2004,173008894,2004-11-19 00:00:00,6.9
The Last Song,2010,62950384,2010-03-31 00:00:00,6.0
The Finest Hours,2016,27569558,2016-01-29 00:00:00,6.7
Because of Winn-Dixie,2005,32647042,2005-02-18 00:00:00,6.3
Splash,1983,69821334,1984-03-09 00:00:00,6.3
The Lodge,2019,2138907,2020-01-16 00:00:00,6.0
Holes,2003,67406573,2003-04-18 00:00:00,7.0
Glory Road,2006,42647449,2006-01-13 00:00:00,7.2
Coco,2017,210460015,2017-11-22 00:00:00,8.4
102 Dalmatians,2000,66957026,2000-11-22 00:00:00,4.8
A Kid in King Arthur's Court,1995,13406717,1995-08-11 00:00:00,4.7
Amy,2015,8413144,2015-07-03 00:00:00,7.8
Brave,2012,237283207,2012-06-22 00:00:00,7.1
Cars 2,2011,191452396,2011-06-24 00:00:00,6.2
Chicken Little,2005,135386665,2005-11-04 00:00:00,5.7
Cinderella,2015,201151353,2015-03-13 00:00:00,6.9
Doug's 1st Movie,1999,19440089,1999-03-26 00:00:00,4.9
Eight Below,2006,81612565,2006-02-17 00:00:00,7.3
Escape to Witch Mountain,1975,20000000,1975-03-21 00:00:00,6.3
Fantasia,1940,76408097,1941-09-19 00:00:00,7.7
Fantasia 2000,1999,60655420,2000-06-16 00:00:00,7.1
Freaky Friday,2003,110230332,2003-08-06 00:00:00,6.3
Herbie Goes Bananas,1980,18000000,1980-06-25 00:00:00,4.9
Hercules,1997,99112101,1997-06-27 00:00:00,7.3
I'll Be Home for Christmas,1998,12214338,1998-11-13 00:00:00,5.5
Inspector Gadget,1999,97403112,1999-07-23 00:00:00,4.1
Iron Will,1994,21006361,1994-01-14 00:00:00,6.6
Jungle 2 Jungle,1997,59927618,1997-03-07 00:00:00,5.1
Kickin' It Old Skool,2007,4502604,2007-04-27 00:00:00,4.6
Mighty Joe Young,1998,50632037,1998-12-25 00:00:00,5.7
Deep Blue,2003,132261,2005-06-24 00:00:00,7.4
Genius,2016,1361045,2016-06-10 00:00:00,6.5
Hannah Montana: The Movie,2009,79576189,2009-04-10 00:00:00,4.5
Hocus Pocus,1993,44342713,1993-07-16 00:00:00,6.9
"Honey, I Shrunk the Kids",1989,130724172,1989-06-23 00:00:00,6.4
James and the Giant Peach,1996,28946127,1996-04-12 00:00:00,6.7
Journey to the Center of the Earth,2008,101704370,2008-07-11 00:00:00,5.8
Kitbull,2019,330661,2019-02-18 00:00:00,8.0
Lady and the Tramp,1955,93602326,1955-06-22 00:00:00,7.3
Monsters University,2013,268492764,2013-06-21 00:00:00,7.2
Newsies,1992,2819485,1992-04-10 00:00:00,6.9
Oliver & Company,1988,74151346,1988-11-18 00:00:00,6.6
Pirates of the Caribbean: At World's End,2007,309420425,2007-05-25 00:00:00,7.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,305413918,2003-07-09 00:00:00,8.1
Ratatouille,2007,206445654,2007-06-29 00:00:00,8.1
Recess: School's Out,2001,36706141,2001-02-16 00:00:00,6.5
Sacred Planet,2004,1108356,2004-04-22 00:00:00,6.1
Science Fair,2018,276195,2018-10-19 00:00:00,7.6
Ernest Saves Christmas,1988,28202109,1988-11-11 00:00:00,5.6
America the Beautiful,2007,76173,2007-03-30 00:00:00,6.8
Enchanted,2007,127807262,2007-11-21 00:00:00,7.1
Feast,2005,56131,2007-01-18 00:00:00,6.2
Jungle Cruise,2021,116987516,2021-07-30 00:00:00,6.6
Shang-Chi and the Legend of the Ten Rings,2021,224543292,2021-09-03 00:00:00,7.4
Willow,1988,57269863,1988-05-20 00:00:00,7.2
X-Men: First Class,2011,146408305,2011-06-03 00:00:00,7.7
"McFarland, USA",2015,44482410,2015-02-20 00:00:00,7.4
Rookie of the Year,1993,53615089,1993-07-07 00:00:00,6.0
Thumbelina,1994,11373501,1994-03-30 00:00:00,6.2
Black Widow,2021,183651655,2021-07-09 00:00:00,6.7
Maleficent,2014,241410378,2014-05-30 00:00:00,6.9
The Fault in Our Stars,2014,124872350,2014-06-06 00:00:00,7.7
Confessions of a Shopaholic,2009,44277350,2009-02-13 00:00:00,5.8
Pirates of the Caribbean: On Stranger Tides,2011,241071802,2011-05-20 00:00:00,6.6
X-Men: Dark Phoenix,2019,65845974,2019-06-07 00:00:00,5.7
Cruella,2021,86103234,2021-05-28 00:00:00,7.3
Dan in Real Life,2007,47642963,2007-10-26 00:00:00,6.8
Underdog,2007,43760605,2007-08-03 00:00:00,4.7
Fantastic Four,2005,154696080,2005-07-08 00:00:00,5.7
X-Men,2000,157299718,2000-07-14 00:00:00,7.3
Garfield,2004,75369589,2004-06-11 00:00:00,5.0
Ice Age: The Meltdown,2006,195330621,2006-03-31 00:00:00,6.8
Turner & Hooch,1989,71079915,1989-07-28 00:00:00,6.2
Flicka,2006,21000147,2006-10-20 00:00:00,6.0
The Sandlot,1993,32950136,1993-04-07 00:00:00,7.8
Adventures in Babysitting,1987,34368475,1987-07-03 00:00:00,6.9
Strange Magic,2015,12429583,2015-01-23 00:00:00,5.7
The Pacifier,2005,113086868,2005-03-04 00:00:00,5.6
Raya and the Last Dragon,2021,54723032,2021-03-05 00:00:00,7.3
Red Tails,2012,49876377,2012-01-20 00:00:00,5.9
X-Men: The Last Stand,2006,234362462,2006-05-26 00:00:00,6.6
The Incredible Hulk,2008,134806913,2008-06-13 00:00:00,6.6
Fantastic Four: Rise of the Silver Surfer,2007,131921738,2007-06-15 00:00:00,5.6
Wild Hearts Can't Be Broken,1991,7294835,1991-05-24 00:00:00,7.1
The Bad Batch,2016,180851,2017-06-23 00:00:00,5.2
Spider-Man,2002,407022860,2002-05-03 00:00:00,7.4
Baby's Day Out,1994,16827402,1994-07-01 00:00:00,6.1
Rio,2011,143619809,2011-04-15 00:00:00,6.9
The Kid Who Would Be King,2019,16790790,2019-01-25 00:00:00,6.1
White Fang 2: Myth of the White Wolf,1994,8878839,1994-04-15 00:00:00,5.4
Man of the House,2005,19699706,2005-02-25 00:00:00,5.4
Squanto: A Warrior's Tale,1994,3342223,1994-10-28 00:00:00,6.0
The Big Year,2011,7204138,2011-10-14 00:00:00,6.2
Gnomeo & Juliet,2011,99967670,2011-02-11 00:00:00,5.9
Miss Peregrine's Home for Peculiar Children,2016,87242834,2016-09-30 00:00:00,6.7
Garfield: A Tail of Two Kitties,2006,28426747,2006-06-16 00:00:00,5.0
The Book of Life,2014,50151543,2014-10-17 00:00:00,7.2
You Again,2010,25702053,2010-09-24 00:00:00,5.7
Isle of Dogs,2018,32015231,2018-04-13 00:00:00,7.8
Max Keeble's Big Move,2001,17294293,2001-10-05 00:00:00,5.4
Into the Woods,2014,128002372,2014-12-25 00:00:00,5.9
Ralph Breaks the Internet,2018,201091711,2018-11-21 00:00:00,7.0
Anastasia,1997,58406347,1997-11-21 00:00:00,7.1
Mulan,1998,120620254,1998-06-19 00:00:00,7.6
Sky High,2005,63946815,2005-07-29 00:00:00,6.3
The Nutcracker and the Four Realms,2018,54858851,2018-11-02 00:00:00,5.5
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,66954149,2014-10-10 00:00:00,6.2
Black Beauty,1994,4630377,1994-07-29 00:00:00,6.6
Planes,2013,90288712,2013-08-09 00:00:00,5.7
Planes: Fire & Rescue,2014,59165787,2014-07-18 00:00:00,5.9
Home Alone,1990,285761243,1990-11-16 00:00:00,7.7
Home Alone 2: Lost in New York,1992,173585516,1992-11-20 00:00:00,6.8
Mr. Magoo,1997,21437192,1997-12-25 00:00:00,4.0
The Sorcerer's Apprentice,2010,63150991,2010-07-14 00:00:00,6.1
Beverly Hills Chihuahua,2008,94514402,2008-10-03 00:00:00,3.9
The Rocketeer,1991,46704056,1991-06-21 00:00:00,6.5
The Right Stuff,1983,21192102,1984-02-17 00:00:00,7.8
X2: X-Men United,2003,214949694,2003-05-02 00:00:00,7.4
Mr. Holland's Opus,1995,82569971,1996-01-19 00:00:00,7.3
Hidden Figures,2016,169607287,2017-01-06 00:00:00,7.8
Ever After: A Cinderella Story,1998,65705771,1998-07-31 00:00:00,7.1
Morning Light,2008,275497,2009-03-12 00:00:00,5.8
D2: The Mighty Ducks,1994,45610410,1994-03-25 00:00:00,6.1
Alice Through the Looking Glass,2016,77041381,2016-05-27 00:00:00,6.2
Beauty and the Beast,1991,218967620,1991-11-22 00:00:00,8.0
Prince of Persia: The Sands of Time,2010,90759676,2010-05-28 00:00:00,6.6
The Peanuts Movie,2015,130178411,2015-11-06 00:00:00,7.0
Incredibles 2,2018,608581744,2018-06-15 00:00:00,7.6
Diary of a Wimpy Kid: The Long Haul,2017,20738724,2017-05-19 00:00:00,4.3
Diary of a Wimpy Kid: Rodrick Rules,2011,52698535,2011-03-25 00:00:00,6.5
Ice Age: Collision Course,2016,64063008,2016-07-22 00:00:00,5.6
Tarzan,1999,171091819,1999-06-18 00:00:00,7.3
The Jungle Book,2016,364001123,2016-04-15 00:00:00,7.4
John Carter,2012,73078100,2012-03-09 00:00:00,6.6
Homeward Bound: The Incredible Journey,1993,41833324,1993-02-12 00:00:00,6.9
The Straight Story,1999,6203044,1999-11-03 00:00:00,8.0
Frankenweenie,2012,35291068,2012-10-05 00:00:00,6.9
Mars Needs Moms,2011,21392758,2011-03-11 00:00:00,5.4
Bedtime Stories,2008,110101975,2008-12-25 00:00:00,6.0
Toy Story 4,2019,434038008,2019-06-21 00:00:00,7.7
Around the World in 80 Days,2004,24008137,2004-06-16 00:00:00,5.8
The Lion King,1994,422783777,1994-06-24 00:00:00,8.5
Cool Runnings,1993,68856263,1993-10-01 00:00:00,7.0
Pick of the Litter,2018,578717,2018-08-31 00:00:00,7.5
Wind,1992,5519569,1992-09-11 00:00:00,6.4
10 Things I Hate About You,1999,38178166,1999-03-31 00:00:00,7.3
A Goofy Movie,1995,35348597,1995-04-07 00:00:00,6.9
Alice in Wonderland,2010,334191110,2010-03-05 00:00:00,6.4
Aliens of the Deep,2005,8968684,2005-08-25 00:00:00,6.3
America's Heart & Soul,2004,314402,2004-07-02 00:00:00,5.0
Annie,1982,57059003,1982-06-18 00:00:00,6.6
Atlantis: The Lost Empire,2001,84056472,2001-06-15 00:00:00,6.9
Bambi,1942,102247150,1942-08-21 00:00:00,7.3
Big Hero 6,2014,222527828,2014-11-07 00:00:00,7.8
Blank Check,1994,30577969,1994-02-11 00:00:00,5.2
Bolt,2008,114053579,2008-11-21 00:00:00,6.8
Brother Bear,2003,85336277,2003-11-01 00:00:00,6.8
Camp Nowhere,1994,10475705,1994-08-26 00:00:00,6.0
Cars,2006,244082982,2006-06-09 00:00:00,7.2
Cars 3,2017,152901115,2017-06-16 00:00:00,6.7
Cheetah,1989,8153677,1989-08-18 00:00:00,5.9
College Road Trip,2008,45610425,2008-03-07 00:00:00,4.3
Confessions of a Teenage Drama Queen,2004,29331068,2004-02-20 00:00:00,4.6
